"","group","ADH1C","ANGPTL1","COL10A1","COL11A1","COL6A6","F12","FGF2","GJB2","HPGDS","MME","NR4A1","RPS24","SOX9","WNT11"
"GSM728657","Tumor",4.161,4.658,12.03,12.066,4.171,8.828,4.132,9.222,6.59,5.627,7.42,6.046,6.101,5.06
"GSM728658","Tumor",3.748,5.025,10.874,12.195,4.353,8.635,4.78,7.65,7.293,7.149,7.576,7.855,6.911,5.127
"GSM728659","Tumor",4.19,6.13,12.089,12.136,5.53,7.766,5.031,9.621,8.32,6.581,7.315,7.596,5.249,6.097
"GSM728660","Tumor",4.505,5.36,12.408,12.179,4.746,6.375,4.955,9.929,8.343,6.37,6.991,7.551,5.749,5.907
"GSM728661","Tumor",6.542,5.289,10.842,10.711,3.641,5.982,5.114,8.249,8.442,5.966,7.46,7.228,6.54,6.135
"GSM728662","Tumor",4.194,5.453,9.47,8.568,3.786,5.218,6.045,7.851,7.359,6.458,7.442,7.323,6.579,5.473
"GSM728663","Tumor",4.033,6.993,12.025,11.77,3.893,7.032,5.899,9.041,7.231,6.112,6.738,7.82,6.85,6.122
"GSM728664","Tumor",3.828,5.174,8.414,10.277,5.464,6.804,4.977,5.387,5.601,4.69,6.426,8.642,4.79,5.653
"GSM728665","Tumor",6.319,7.301,7.746,7.358,7.909,5.756,6.508,4.853,6.455,8.688,7.463,8,5.094,4.559
"GSM728666","Tumor",4.921,5.483,8.408,9.653,6.554,6.35,5.907,7.349,6.036,7.149,7.7,8.107,5.614,6.359
"GSM728667","Tumor",5.493,5.463,9.898,10.251,4.858,5.849,5.806,6.835,6.857,6.782,8.63,8.01,3.806,5.447
"GSM728668","Tumor",5.299,5.227,9.511,8.661,6.503,8.36,4.847,6.053,5.469,6.049,7.823,9.117,5.527,6.413
"GSM728669","Tumor",3.57,4.982,5.883,7.602,4.019,6.759,6.246,4.897,6.287,5.517,7.981,6.261,6.218,7.365
"GSM728670","Tumor",3.773,4.508,9.519,9.126,4.723,7.136,5.066,6.94,6.425,4.873,6.981,7.189,4.431,8.097
"GSM728671","Tumor",4.179,5.884,8.171,8.367,5.022,6.546,4.775,4.566,6.638,5.969,7.064,4.802,5.57,8.104
"GSM728672","Tumor",3.805,4.954,8.323,10.743,4.853,6.578,4.442,6.299,6.213,5.242,7.911,4.419,6.456,7.298
"GSM728673","Tumor",4.925,6.256,6.878,5.426,3.808,5.851,6.173,6.03,6.792,4.674,7.217,5.374,4.735,8.027
"GSM728674","Tumor",4.315,4.756,9.108,10.808,3.945,6.943,4.706,6.413,6.101,5.599,7.114,5.519,6.367,7.472
"GSM728675","Tumor",4.227,4.687,9.531,12.786,4.626,7.394,4.385,6.875,7.184,4.768,7.211,7.29,6.204,6.443
"GSM728676","Tumor",3.846,4.493,8.946,9.412,3.84,7.525,5.32,6.293,7.652,4.266,7.185,5.58,4.44,8.269
