"Module"	"Gene1"	"Gene2"
"M1"	"CCL8"	"CHCHD4"
"M1"	"CCL8"	"RAB5B"
"M1"	"CCL8"	"FOLR3"
"M1"	"CCL8"	"PTP4A1"
"M1"	"CCL8"	"PPP1R1B"
"M1"	"CCL8"	"SIPA1L3"
"M1"	"CCL8"	"ITGB3"
"M1"	"CCL8"	"CSPG4"
"M1"	"CCL8"	"SPDEF"
"M1"	"CCL8"	"HOXA10"
"M1"	"CCL8"	"PLSCR1"
"M1"	"CCL8"	"BAIAP2L1"
"M1"	"CCL8"	"ISG20"
"M1"	"MME"	"PCBP1"
"M1"	"MME"	"ERBB2"
"M1"	"MME"	"PTP4A1"
"M1"	"MME"	"FILIP1"
"M1"	"MME"	"SPATA13"
"M1"	"MME"	"PITX1"
"M1"	"MME"	"VBP1"
"M1"	"MME"	"MAOB"
"M1"	"MME"	"WFDC3"
"M1"	"PRUNE"	"RASD1"
"M1"	"PRUNE"	"ANKRD35"
"M1"	"NLRC4"	"FAT1"
"M1"	"TMEM64"	"CRY1"
"M1"	"TMEM64"	"POLE3"
"M1"	"TMEM64"	"ZNF2"
"M1"	"TMEM64"	"MINK1"
"M1"	"TMEM64"	"C19orf52"
"M1"	"TMEM64"	"WDR11"
"M1"	"TMEM64"	"FGD2"
"M1"	"TMEM64"	"DUOX2"
"M1"	"TMEM64"	"THAP2"
"M1"	"PPP1R12A"	"NANOS1"
"M1"	"PPP1R12A"	"HILPDA"
"M1"	"PTGIS"	"C1orf94"
"M1"	"PTGIS"	"VPS28"
"M1"	"PTGIS"	"APBB1IP"
"M1"	"PTGIS"	"PTP4A1"
"M1"	"PTGIS"	"BAIAP2L1"
"M1"	"PTGIS"	"WDR92"
"M1"	"GAS6"	"DNAJC11"
"M1"	"GAS6"	"SNTA1"
"M1"	"GAS6"	"CSRP3"
"M1"	"GAS6"	"FOLR3"
"M1"	"GAS6"	"PTP4A1"
"M1"	"GAS6"	"TRIM33"
"M1"	"GAS6"	"USP33"
"M1"	"GAS6"	"HOXA10"
"M1"	"GAS6"	"UBE2G1"
"M1"	"GAS6"	"APLP2"
"M1"	"SPRY2"	"PXMP2"
"M1"	"SPRY2"	"BHMT"
"M1"	"SPRY2"	"PRMT3"
"M1"	"SPRY2"	"MNT"
"M1"	"SPRY2"	"ITGA8"
"M1"	"SPRY2"	"DDOST"
"M1"	"SPRY2"	"CHMP4B"
"M1"	"SPRY2"	"HSPA2"
"M1"	"SPRY2"	"TESK2"
"M1"	"SPRY2"	"SRR"
"M1"	"SPRY2"	"ALDH2"
"M1"	"SPRY2"	"HRC"
"M1"	"SPRY2"	"ADRB2"
"M1"	"SPRY2"	"NAA50"
"M1"	"SPRY2"	"WDR26"
"M1"	"SPRY2"	"PTP4A1"
"M1"	"SPRY2"	"ANP32A"
"M1"	"SPRY2"	"TARBP2"
"M1"	"SPRY2"	"CDC14A"
"M1"	"SPRY2"	"DCAF17"
"M1"	"SPRY2"	"CALCOCO1"
"M1"	"SPRY2"	"ZNF44"
"M1"	"SPRY2"	"PRKCZ"
"M1"	"SPRY2"	"CWC22"
"M1"	"SPRY2"	"KLF2"
"M1"	"C17orf70"	"HIST1H1D"
"M1"	"C17orf70"	"ORMDL3"
"M1"	"C17orf70"	"PID1"
"M1"	"PGM1"	"CEP57"
"M1"	"PGM1"	"PTP4A1"
"M1"	"PGM1"	"CDKN2AIP"
"M1"	"URB2"	"ZNF423"
"M1"	"URB2"	"PHGDH"
"M1"	"CENPV"	"MPZL1"
"M1"	"CENPV"	"PTP4A1"
"M1"	"CENPV"	"CDO1"
"M1"	"CENPV"	"ZCCHC3"
"M1"	"SLC16A1"	"PCCA"
"M1"	"PEX11A"	"AGPAT6"
"M1"	"ZEB2"	"AGTRAP"
"M1"	"ZEB2"	"HSPA2"
"M1"	"ZEB2"	"ZNF101"
"M1"	"ZEB2"	"PSMB9"
"M1"	"ZEB2"	"SRR"
"M1"	"ZEB2"	"BCAP29"
"M1"	"ZEB2"	"APBB1IP"
"M1"	"ZEB2"	"MPPED1"
"M1"	"ZEB2"	"CHCHD4"
"M1"	"ZEB2"	"PTP4A1"
"M1"	"ZEB2"	"ITGB3"
"M1"	"ZEB2"	"SLAIN2"
"M1"	"ZEB2"	"SCAND1"
"M1"	"ZEB2"	"NUP98"
"M1"	"ZEB2"	"HEATR1"
"M1"	"ZEB2"	"CSNK2A2"
"M1"	"NRCAM"	"TRAK1"
"M1"	"NRCAM"	"SRP72"
"M1"	"NRCAM"	"CDCA5"
"M1"	"NRCAM"	"HRH3"
"M1"	"NRCAM"	"YOD1"
"M1"	"NRCAM"	"CCL7"
"M1"	"NRCAM"	"MNT"
"M1"	"NRCAM"	"GSPT1"
"M1"	"NRCAM"	"LIPE"
"M1"	"NRCAM"	"GRM4"
"M1"	"NRCAM"	"IL17A"
"M1"	"NRCAM"	"MUC2"
"M1"	"NRCAM"	"REPS2"
"M1"	"NRCAM"	"FBXW11"
"M1"	"NRCAM"	"DNAJC11"
"M1"	"NRCAM"	"HIST2H4B"
"M1"	"NRCAM"	"PADI4"
"M1"	"NRCAM"	"GRHL2"
"M1"	"NRCAM"	"CDH1"
"M1"	"NRCAM"	"SP100"
