"Module"	"Gene1"	"Gene2"
"M1"	"RNF43"	"KRT27"
"M1"	"RNF43"	"FAM78A"
"M1"	"RNF43"	"BCR"
"M1"	"RNF43"	"NUCB2"
"M1"	"RNF43"	"MYD88"
"M1"	"RNF43"	"GNPTAB"
"M1"	"RNF43"	"KLF5"
"M1"	"RNF43"	"OXSM"
"M1"	"RNF43"	"ODC1"
"M1"	"RNF43"	"ZNF337"
"M1"	"RNF43"	"AMT"
"M1"	"RNF43"	"SPG7"
"M1"	"RNF43"	"SUCLG2"
"M1"	"RNF43"	"EMC10"
"M1"	"RNF43"	"SNX30"
"M1"	"RNF43"	"TAP2"
"M1"	"RNF43"	"TNFSF10"
"M1"	"RNF43"	"NSD1"
"M1"	"RNF43"	"SUDS3"
"M1"	"RNF43"	"ZDHHC23"
"M1"	"RNF43"	"MUC1"
"M1"	"RNF43"	"SLC27A3"
"M1"	"RNF43"	"N4BP1"
"M1"	"RNF43"	"MSL2"
"M1"	"RNF43"	"TCEB2"
"M1"	"RNF43"	"DYNLL1"
"M1"	"RNF43"	"NKX2-1"
"M1"	"RNF43"	"STK11IP"
"M1"	"RNF43"	"GYS1"
"M1"	"TP53BP2"	"F3"
"M1"	"TP53BP2"	"KDELR3"
"M1"	"UNKL"	"RCAN1"
"M1"	"UNKL"	"MLLT11"
"M1"	"GABRG2"	"PLAGL1"
"M1"	"GABRG2"	"FAM213A"
"M1"	"SSTR1"	"PPAP2B"
"M1"	"SSTR1"	"KANK1"
"M1"	"SSTR1"	"BOK"
"M1"	"SSTR1"	"PCDHB5"
"M1"	"GIT1"	"EFEMP1"
"M1"	"GIT1"	"PRELP"
"M1"	"GIT1"	"EDNRB"
"M1"	"GIT1"	"COL14A1"
"M1"	"GIT1"	"MAGI2"
"M1"	"GIT1"	"LDB2"
"M1"	"AHCYL1"	"MLLT11"
"M1"	"PLAUR"	"ARHGEF40"
"M1"	"PLAUR"	"FAM213A"
"M1"	"NCOA2"	"TNFAIP6"
"M1"	"NCOA2"	"ORC6"
"M1"	"CDC26"	"PPAP2B"
"M1"	"CDC26"	"GPAT2"
"M1"	"REPS2"	"DHRS13"
"M1"	"MTHFD1"	"NR4A1"
"M1"	"MTHFD1"	"MLLT11"
"M1"	"KLHL17"	"PPL"
"M1"	"KLHL17"	"NQO1"
"M1"	"KLHL17"	"DHRS13"
"M1"	"KLHL17"	"MLLT11"
"M1"	"KLHL17"	"KNOP1"
"M1"	"CROT"	"FMOD"
"M1"	"CROT"	"SAPCD2"
"M1"	"SCGB3A1"	"ALDH1A1"
"M1"	"MINOS1"	"SATB1"
"M1"	"MINOS1"	"AMOTL2"
"M1"	"CNRIP1"	"ALAS1"
"M1"	"CNRIP1"	"PTPRN"
"M1"	"CNRIP1"	"KPNA2"
"M1"	"CNRIP1"	"HADH"
"M1"	"CNRIP1"	"SIN3A"
"M1"	"CNRIP1"	"DCBLD2"
"M1"	"CNRIP1"	"SUPT3H"
"M1"	"CNRIP1"	"PTPN7"
"M1"	"CNRIP1"	"CA10"
"M1"	"CNRIP1"	"PTDSS2"
"M1"	"CNRIP1"	"NR2C1"
"M1"	"CNRIP1"	"AFF4"
"M1"	"CNRIP1"	"HHLA3"
"M1"	"CNRIP1"	"ATRN"
"M1"	"CNRIP1"	"C11orf63"
"M1"	"CNRIP1"	"RAPGEFL1"
"M1"	"CNRIP1"	"ODC1"
"M1"	"CNRIP1"	"GNA15"
"M1"	"CNRIP1"	"YKT6"
"M1"	"CNRIP1"	"SH3GL2"
"M1"	"CNRIP1"	"TPTE2"
"M1"	"CNRIP1"	"UBR1"
"M1"	"CNRIP1"	"C1GALT1"
"M1"	"CNRIP1"	"BCL7C"
"M1"	"CNRIP1"	"ISY1"
"M1"	"CNRIP1"	"NOXO1"
"M1"	"CNRIP1"	"TMEM207"
"M1"	"CNRIP1"	"ARSB"
"M1"	"CNRIP1"	"MC3R"
"M1"	"CNRIP1"	"POC1A"
"M1"	"CNRIP1"	"GLTSCR2"
"M1"	"CNRIP1"	"SF3B3"
"M1"	"CNRIP1"	"RNF187"
"M1"	"CNRIP1"	"CMPK2"
"M1"	"CNRIP1"	"ZBTB37"
"M1"	"CNRIP1"	"RBMS1"
"M1"	"CNRIP1"	"RPL3"
"M1"	"ORAOV1"	"SAPCD2"
"M1"	"TBC1D8"	"PTGDS"
"M1"	"TBC1D8"	"GALNT12"
"M1"	"TBC1D8"	"COL4A2"
"M1"	"TBC1D8"	"PLIN2"
"M1"	"KDR"	"PLIN2"
"M1"	"KDR"	"RCAN1"
"M1"	"KDR"	"CILP"
"M1"	"STUB1"	"VEGFB"
"M1"	"STUB1"	"PCCA"
"M1"	"FBXO18"	"KCNJ8"
"M1"	"FBXO18"	"PEMT"
"M1"	"FBXO18"	"PPL"
"M1"	"FBXO18"	"CPNE2"
"M1"	"FBXO18"	"FBLN5"
"M1"	"FBXO18"	"RCAN1"
"M1"	"DERL3"	"LINGO1"
"M1"	"DERL3"	"FAM213A"
"M1"	"LIN28A"	"MED6"
"M1"	"LIN28A"	"EPHA8"
"M1"	"LIN28A"	"CIZ1"
"M1"	"LIN28A"	"ATOX1"
"M1"	"LIN28A"	"CD24"
"M1"	"LIN28A"	"IRF9"
"M1"	"LIN28A"	"TMCC2"
"M1"	"LIN28A"	"CBFA2T2"
"M1"	"LIN28A"	"FKBP5"
"M1"	"LIN28A"	"SMARCD2"
"M1"	"LIN28A"	"ITGB2"
"M1"	"LIN28A"	"SFTPA1"
"M1"	"LIN28A"	"RNF6"
"M1"	"LIN28A"	"ACTN2"
"M1"	"LIN28A"	"C7orf34"
"M1"	"LIN28A"	"GRASP"
"M1"	"LIN28A"	"TXNL4B"
"M1"	"LIN28A"	"FAM104B"
"M1"	"LIN28A"	"KIAA1429"
"M1"	"LIN28A"	"CUTA"
"M1"	"LIN28A"	"ZNF546"
"M1"	"LIN28A"	"CCBL1"
"M1"	"LIN28A"	"SH3BGRL3"
"M1"	"LIN28A"	"FUCA2"
"M1"	"LIN28A"	"NAGK"
"M1"	"LIN28A"	"TBCE"
"M1"	"LIN28A"	"AQP9"
"M1"	"LIN28A"	"IFITM2"
"M1"	"LIN28A"	"ZFP30"
"M1"	"LIN28A"	"DBI"
"M1"	"LIN28A"	"RFWD3"
"M1"	"LIN28A"	"BICD2"
"M1"	"LIN28A"	"MACF1"
"M1"	"LIN28A"	"MUCL1"
"M1"	"LIN28A"	"MAP4"
"M1"	"LIN28A"	"SERPINH1"
"M1"	"LIN28A"	"PAFAH1B1"
"M1"	"LIN28A"	"CAMKV"
"M1"	"LIN28A"	"TOM1L1"
"M1"	"LIN28A"	"KRTCAP2"
"M1"	"LIN28A"	"FBXW9"
"M1"	"NFATC2"	"GRB7"
"M1"	"NFATC2"	"LAMC1"
"M1"	"NFATC2"	"MEIS2"
"M1"	"NFATC2"	"PPP1R1B"
"M1"	"NFATC2"	"MAGI2"
"M1"	"NFATC2"	"MGLL"
"M1"	"IL4"	"NMT2"
"M1"	"IL4"	"ADRB2"
"M1"	"IL4"	"FMOD"
"M1"	"IL4"	"SAPCD2"
"M1"	"IL4"	"LTF"
"M1"	"DLK1"	"CRELD2"
"M1"	"DLK1"	"LSAMP"
"M1"	"DLK1"	"LRRFIP2"
"M1"	"DLK1"	"FBLIM1"
"M1"	"DLK1"	"PTP4A1"
"M1"	"DLK1"	"GID8"
"M1"	"DLK1"	"INTS3"
"M1"	"DLK1"	"HSPB3"
"M1"	"DLK1"	"APTX"
"M1"	"DLK1"	"COMMD8"
"M1"	"DLK1"	"NCAPG"
"M1"	"DLK1"	"DOK6"
"M1"	"DLK1"	"EIF4A1"
"M1"	"DLK1"	"PPP1R3D"
"M1"	"DLK1"	"KCNB1"
"M1"	"DLK1"	"PPP1R3G"
"M1"	"DLK1"	"MED18"
"M1"	"DLK1"	"FAM78A"
"M1"	"DLK1"	"RHEBL1"
"M1"	"DLK1"	"CRYZ"
"M1"	"DLK1"	"JPH2"
"M1"	"DLK1"	"CDX1"
"M1"	"DLK1"	"PCNP"
"M1"	"DLK1"	"HCLS1"
"M1"	"DLK1"	"LHPP"
"M1"	"DLK1"	"KLF5"
"M1"	"DLK1"	"VPS29"
"M1"	"DLK1"	"CMKLR1"
"M1"	"DLK1"	"NR5A1"
"M1"	"DLK1"	"EIF3G"
"M1"	"DLK1"	"ZNF414"
"M1"	"DLK1"	"DDX19A"
"M1"	"DLK1"	"FBXO43"
"M1"	"DLK1"	"ATG16L1"
"M1"	"DLK1"	"KIF17"
"M1"	"DLK1"	"PCDHA11"
"M1"	"DLK1"	"GIMAP4"
"M1"	"DLK1"	"TMEM230"
"M1"	"DLK1"	"HIBCH"
"M1"	"DLK1"	"AKNAD1"
"M1"	"DLK1"	"NHP2"
"M1"	"DLK1"	"MRPL52"
"M1"	"DLK1"	"HDAC8"
"M1"	"DLK1"	"MBNL1"
"M1"	"DLK1"	"OSBPL10"
"M1"	"DLK1"	"PEX5"
"M1"	"DLK1"	"CXCL16"
"M1"	"DLK1"	"CYP27C1"
"M1"	"DLK1"	"RBMS1"
"M1"	"DLK1"	"DKC1"
"M1"	"DLK1"	"ZIC5"
"M1"	"DLK1"	"MAP3K6"
"M1"	"DLK1"	"SF3A2"
"M1"	"DLK1"	"LFNG"
"M1"	"DLK1"	"FASTKD5"
"M1"	"DLK1"	"TMEM216"
"M1"	"DLK1"	"INTS6"
"M1"	"DLK1"	"SHANK1"
"M1"	"DLK1"	"C3orf17"
"M1"	"DLK1"	"NR1H2"
"M1"	"DLK1"	"UROC1"
"M1"	"DLK1"	"CELA3A"
"M1"	"DLK1"	"FAM193B"
"M1"	"DLK1"	"SFT2D3"
"M1"	"DLK1"	"CLPP"
"M1"	"DLK1"	"SKIV2L2"
"M1"	"DLK1"	"KRT26"
"M1"	"NEFM"	"GALNT12"
"M1"	"NEFM"	"TWIST1"
"M1"	"NEFM"	"HMCN1"
"M1"	"PNPLA2"	"GPC3"
"M1"	"PNPLA2"	"MEOX1"
"M1"	"PNPLA2"	"VAMP5"
"M1"	"PNPLA2"	"FAM213A"
"M1"	"PNPLA2"	"EGR1"
"M1"	"ADA"	"CD36"
"M1"	"ADA"	"PTPRN2"
"M1"	"OCRL"	"PTGDS"
"M1"	"OCRL"	"PLIN2"
"M1"	"OCRL"	"KCNB1"
"M1"	"OCRL"	"BTD"
"M1"	"ALAS1"	"FBN1"
"M1"	"ALAS1"	"CD99"
"M1"	"RPS16"	"MARC1"
"M1"	"RPS16"	"PFKFB3"
"M1"	"RPS16"	"SLC19A3"
"M1"	"CCL2"	"STK19"
"M1"	"CCL2"	"ZFP36"
"M1"	"CCL2"	"ABCE1"
"M1"	"CCL2"	"ANG"
"M1"	"CCL2"	"C18orf32"
"M1"	"CCL2"	"FBXL4"
"M1"	"CCL2"	"TAPBP"
"M1"	"CCL2"	"PPL"
"M1"	"CCL2"	"ATP6V1G1"
"M1"	"CCL2"	"FAM83G"
"M1"	"CCL2"	"FCGRT"
"M1"	"CCL2"	"ACKR3"
"M1"	"CCL2"	"TSNAX"
"M1"	"CCL2"	"MYO16"
"M1"	"CCL2"	"EPN1"
"M1"	"CCL2"	"KIFC1"
"M1"	"CCL2"	"KDM5A"
"M1"	"CCL2"	"UBE2L6"
"M1"	"CCL2"	"FBLN5"
"M1"	"CCL2"	"VAMP3"
"M1"	"CCL2"	"AGRN"
"M1"	"CCL2"	"CCR4"
"M1"	"CCL2"	"NEIL1"
"M1"	"CCL2"	"KDM3A"
"M1"	"CCL2"	"BCAP29"
"M1"	"CCL2"	"REG1A"
"M1"	"CCL2"	"CYP11A1"
"M1"	"CCL2"	"SLC1A1"
"M1"	"CCL2"	"EEF1B2"
"M1"	"CCL2"	"BHLHB9"
"M1"	"CCL2"	"PRKAB2"
"M1"	"CCL2"	"PRF1"
"M1"	"CCL2"	"VPS28"
"M1"	"CCL2"	"CSRP3"
"M1"	"CCL2"	"CTBS"
"M1"	"CCL2"	"PABPC3"
"M1"	"CCL2"	"RAB5B"
"M1"	"CCL2"	"PTP4A1"
"M1"	"CCL2"	"MAGEB18"
"M1"	"CCL2"	"ATOX1"
"M1"	"CCL2"	"F11R"
"M1"	"CCL2"	"GDNF"
"M1"	"CCL2"	"MMACHC"
"M1"	"CCL2"	"SIPA1L3"
"M1"	"CCL2"	"ITGB3"
"M1"	"CCL2"	"PALLD"
"M1"	"CCL2"	"CSPG4"
"M1"	"CCL2"	"CNTLN"
"M1"	"CCL2"	"EPHA1"
"M1"	"CCL2"	"VASP"
"M1"	"CCL2"	"WFDC5"
"M1"	"CCL2"	"LPP"
"M1"	"CCL2"	"SNAPC4"
"M1"	"CCL2"	"BIRC5"
"M1"	"CCL2"	"ARPC1B"
"M1"	"CCL2"	"ELOVL7"
"M1"	"CCL2"	"WSB2"
"M1"	"CCL2"	"WDR48"
"M1"	"CCL2"	"CNTFR"
"M1"	"CCL2"	"PDE6D"
"M1"	"CCL2"	"TOM1L2"
"M1"	"CCL2"	"DGCR14"
"M1"	"CCL2"	"BAIAP2L1"
"M1"	"CCL2"	"ELF5"
"M1"	"CCL2"	"HCRTR1"
"M1"	"CCL2"	"GJB5"
"M1"	"CCL2"	"GHRHR"
"M1"	"CCL2"	"RNF17"
"M1"	"CCL2"	"RNF135"
"M1"	"CCL2"	"DNAJC19"
"M1"	"CCL2"	"ZNF337"
"M1"	"CCL2"	"KCNJ12"
"M1"	"CCL2"	"TMEM54"
"M1"	"CCL2"	"EPSTI1"
"M1"	"CCL2"	"NEDD4"
"M1"	"CCL2"	"MAP4"
"M1"	"CCL2"	"C12orf57"
"M1"	"CCL2"	"TNK2"
"M1"	"CCL2"	"DCST2"
"M1"	"CCL2"	"RPL13"
"M1"	"CCL2"	"USP24"
"M1"	"CCL2"	"TBCA"
"M1"	"CCL2"	"ZCCHC4"
"M1"	"CCL2"	"SMIM12"
"M1"	"NF2"	"APOLD1"
"M1"	"NF2"	"LDB2"
"M1"	"MRPL17"	"CD99"
"M1"	"MRPL17"	"SATB1"
"M1"	"TRPV5"	"PPAP2A"
"M1"	"AP3S1"	"MEOX1"
"M1"	"AP3S1"	"SRPX"
"M1"	"UBXN1"	"DHRS13"
"M1"	"NLRP4"	"KCNB1"
"M1"	"NLRP4"	"MLLT11"
"M1"	"HINT1"	"PRKACB"
"M1"	"HINT1"	"CCNDBP1"
"M1"	"AKR1B1"	"EFEMP1"
"M1"	"DBF4"	"ARHGAP6"
"M1"	"DBF4"	"TMEM184A"
"M1"	"DBF4"	"FGF13"
"M1"	"DBF4"	"IGDCC4"
"M1"	"RPL10L"	"CKMT2"
"M1"	"RPL10L"	"CPE"
"M1"	"CELF2"	"MAGI2"
"M1"	"CELF2"	"PLEKHH2"
"M1"	"RAB14"	"MAGI2"
"M1"	"RAB14"	"COL9A3"
"M1"	"TERT"	"FBLN2"
"M1"	"TERT"	"COL4A2"
"M1"	"TERT"	"HP"
"M1"	"TERT"	"PDLIM3"
"M1"	"TERT"	"CRYZ"
"M1"	"TERT"	"EGR1"
"M1"	"SH3BP2"	"EPS8"
"M1"	"SH3BP2"	"ORC6"
"M1"	"SH3BP2"	"MLLT11"
"M1"	"FCN1"	"ZFP36"
"M1"	"FCN1"	"SELE"
"M1"	"CTSH"	"MARC1"
"M1"	"FANCA"	"S100P"
"M1"	"TRIML1"	"PEMT"
"M1"	"TRIML1"	"HSPA12A"
"M1"	"TRIML1"	"S100A6"
"M1"	"MAD2L2"	"NMT2"
"M1"	"MAD2L2"	"MSX1"
"M1"	"MAD2L2"	"SATB1"
"M1"	"MAD2L2"	"GNAI1"
"M1"	"MAD2L2"	"KCNB1"
"M1"	"MAD2L2"	"EPB41L2"
"M1"	"MAD2L2"	"IRS2"
"M1"	"GATAD2B"	"CD99"
"M1"	"GATAD2B"	"SATB1"
"M1"	"C5AR1"	"GNAI1"
"M1"	"C5AR1"	"TMEM184A"
"M1"	"MLST8"	"ADAMTS1"
"M1"	"MLST8"	"GPAM"
"M1"	"MLST8"	"THBS4"
"M1"	"EFEMP1"	"XAB2"
"M1"	"EFEMP1"	"SLC1A7"
"M1"	"EFEMP1"	"CLDN10"
"M1"	"EFEMP1"	"PLXNA1"
"M1"	"EFEMP1"	"ARPC3"
"M1"	"EFEMP1"	"HMGA2"
"M1"	"EFEMP1"	"MRGBP"
"M1"	"EFEMP1"	"PRDX5"
"M1"	"EFEMP1"	"KPNA3"
"M1"	"EFEMP1"	"HAO2"
"M1"	"EFEMP1"	"ELMSAN1"
"M1"	"EFEMP1"	"AMIGO3"
"M1"	"EFEMP1"	"IL17RB"
"M1"	"EFEMP1"	"TMOD3"
"M1"	"EFEMP1"	"SNRNP27"
"M1"	"EFEMP1"	"CSNK1D"
"M1"	"EFEMP1"	"COG5"
"M1"	"EFEMP1"	"KPNA2"
"M1"	"EFEMP1"	"STXBP3"
"M1"	"EFEMP1"	"PHRF1"
"M1"	"EFEMP1"	"CD163"
"M1"	"EFEMP1"	"KAZN"
"M1"	"EFEMP1"	"RIOK3"
"M1"	"EFEMP1"	"PEMT"
"M1"	"EFEMP1"	"KLHL24"
"M1"	"EFEMP1"	"SRSF9"
"M1"	"EFEMP1"	"LRRFIP2"
"M1"	"EFEMP1"	"VAV1"
"M1"	"EFEMP1"	"SKI"
"M1"	"EFEMP1"	"RBBP8"
"M1"	"EFEMP1"	"C14orf142"
"M1"	"EFEMP1"	"CEP57"
"M1"	"EFEMP1"	"IL18"
"M1"	"EFEMP1"	"FBLIM1"
"M1"	"EFEMP1"	"SNTA1"
"M1"	"EFEMP1"	"CDC25C"
"M1"	"EFEMP1"	"CRY1"
"M1"	"EFEMP1"	"INTS10"
"M1"	"EFEMP1"	"PPP2R5E"
"M1"	"EFEMP1"	"HIST1H3J"
"M1"	"EFEMP1"	"GALC"
"M1"	"EFEMP1"	"AHRR"
"M1"	"EFEMP1"	"NEDD8"
"M1"	"EFEMP1"	"CBLL1"
"M1"	"EFEMP1"	"PRKAB2"
"M1"	"EFEMP1"	"VPS28"
"M1"	"EFEMP1"	"PTP4A1"
"M1"	"EFEMP1"	"GID8"
"M1"	"EFEMP1"	"INTS3"
"M1"	"EFEMP1"	"HSPB3"
"M1"	"EFEMP1"	"PIP5KL1"
"M1"	"EFEMP1"	"RFXAP"
"M1"	"EFEMP1"	"APTX"
"M1"	"EFEMP1"	"TARBP2"
"M1"	"EFEMP1"	"TACR1"
"M1"	"EFEMP1"	"BAIAP2L1"
"M1"	"EFEMP1"	"IL1B"
"M1"	"EFEMP1"	"PPP1R3G"
"M1"	"EFEMP1"	"DCUN1D2"
"M1"	"EFEMP1"	"ANGPTL7"
"M1"	"EFEMP1"	"JPH2"
"M1"	"EFEMP1"	"VAC14"
"M1"	"EFEMP1"	"HCLS1"
"M1"	"EFEMP1"	"GPANK1"
"M1"	"EFEMP1"	"CMKLR1"
"M1"	"EFEMP1"	"NR5A1"
"M1"	"EFEMP1"	"ZNF414"
"M1"	"EFEMP1"	"EPSTI1"
"M1"	"EFEMP1"	"TRAIP"
"M1"	"EFEMP1"	"MRPL52"
"M1"	"EFEMP1"	"MED8"
"M1"	"EFEMP1"	"TUBG1"
"M1"	"EFEMP1"	"MBNL1"
"M1"	"EFEMP1"	"PYDC1"
"M1"	"EFEMP1"	"SIGMAR1"
"M1"	"EFEMP1"	"ETHE1"
"M1"	"EFEMP1"	"CXCL16"
"M1"	"EFEMP1"	"DKC1"
"M1"	"EFEMP1"	"SF3A2"
"M1"	"EFEMP1"	"DIAPH1"
"M1"	"EFEMP1"	"TMEM216"
"M1"	"EFEMP1"	"C3orf17"
"M1"	"EFEMP1"	"NR1H2"
"M1"	"EFEMP1"	"UROC1"
"M1"	"EFEMP1"	"CELA3A"
"M1"	"EFEMP1"	"SKIV2L2"
"M1"	"EFEMP1"	"KRT26"
"M1"	"EFEMP1"	"KMT2C"
"M1"	"EFEMP1"	"AMACR"
"M1"	"EFEMP1"	"HSPB6"
"M1"	"EFEMP1"	"KDM4D"
"M1"	"EFEMP1"	"TAF1C"
"M1"	"EFEMP1"	"PARD3"
"M1"	"PLTP"	"TGS1"
"M1"	"PLTP"	"LIN37"
"M1"	"PLTP"	"FBXL4"
"M1"	"PLTP"	"UBE2M"
"M1"	"PLTP"	"TROAP"
"M1"	"PLTP"	"FAM83G"
"M1"	"PLTP"	"SKI"
"M1"	"PLTP"	"GPC3"
"M1"	"PLTP"	"DUSP10"
"M1"	"PLTP"	"MYO16"
"M1"	"PLTP"	"TCF21"
"M1"	"PLTP"	"UBE2L6"
"M1"	"PLTP"	"PPP2R3B"
"M1"	"PLTP"	"NEIL1"
"M1"	"PLTP"	"KDM3A"
"M1"	"PLTP"	"BCAP29"
"M1"	"PLTP"	"KISS1R"
"M1"	"PLTP"	"TIGIT"
"M1"	"PLTP"	"SARNP"
"M1"	"PLTP"	"PRKAB2"
"M1"	"PLTP"	"KLHDC9"
"M1"	"PLTP"	"PRF1"
"M1"	"PLTP"	"VPS28"
"M1"	"PLTP"	"CSRP3"
"M1"	"PLTP"	"CTBS"
"M1"	"PLTP"	"MPPED1"
"M1"	"PLTP"	"IL1RAP"
"M1"	"PLTP"	"CHCHD4"
"M1"	"PLTP"	"RAB5B"
"M1"	"PLTP"	"FOLR3"
"M1"	"PLTP"	"PTP4A1"
"M1"	"PLTP"	"CYBRD1"
"M1"	"PLTP"	"MMACHC"
"M1"	"PLTP"	"SIPA1L3"
"M1"	"PLTP"	"RINT1"
"M1"	"PLTP"	"TP53RK"
"M1"	"PLTP"	"PALLD"
"M1"	"PLTP"	"RFXAP"
"M1"	"PLTP"	"SPICE1"
"M1"	"PLTP"	"PAPD5"
"M1"	"PLTP"	"CLSPN"
"M1"	"PLTP"	"CNTLN"
"M1"	"PLTP"	"EPHA1"
"M1"	"PLTP"	"VASP"
"M1"	"PLTP"	"LPP"
"M1"	"PLTP"	"SNAPC4"
"M1"	"PLTP"	"PAX2"
"M1"	"PLTP"	"DCAF17"
"M1"	"PLTP"	"FUBP1"
"M1"	"PLTP"	"UHMK1"
"M1"	"PLTP"	"CNTFR"
"M1"	"PLTP"	"RCAN3"
"M1"	"PLTP"	"IRF6"
"M1"	"PLTP"	"VBP1"
"M1"	"PLTP"	"DGCR14"
"M1"	"PLTP"	"BAIAP2L1"
"M1"	"PLTP"	"SYT7"
"M1"	"PLTP"	"POU2AF1"
"M1"	"PLTP"	"GPR142"
"M1"	"PLTP"	"CFHR2"
"M1"	"PLTP"	"MDGA2"
"M1"	"PLTP"	"SMCP"
"M1"	"PLTP"	"TBCE"
"M1"	"PLTP"	"NPEPPS"
"M1"	"PLTP"	"CUL2"
"M1"	"PLTP"	"GMDS"
"M1"	"PLTP"	"CD300LB"
"M1"	"PLTP"	"SLC30A6"
"M1"	"PLTP"	"PIAS2"
"M1"	"PLTP"	"ZXDA"
"M1"	"PLTP"	"HELQ"
"M1"	"PLTP"	"EVA1A"
"M1"	"PLTP"	"CTAGE5"
"M1"	"PLTP"	"FGFBP1"
"M1"	"PLTP"	"TTLL1"
"M1"	"PLTP"	"ZCCHC4"
"M1"	"PLTP"	"PPP1R14C"
"M1"	"PLTP"	"MRGPRX1"
"M1"	"PLTP"	"EIF2D"
"M1"	"PLTP"	"STX17"
"M1"	"PLTP"	"SLCO2A1"
"M1"	"PLTP"	"PSMC4"
"M1"	"PLTP"	"CACNB3"
"M1"	"PLTP"	"TBC1D19"
"M1"	"PLTP"	"AQP5"
"M1"	"FABP5"	"LRRFIP2"
"M1"	"FABP5"	"IL3"
"M1"	"FABP5"	"FBLIM1"
"M1"	"FABP5"	"FOLR3"
"M1"	"FABP5"	"PPP1R3G"
"M1"	"FABP5"	"JPH2"
"M1"	"FABP5"	"HCLS1"
"M1"	"FABP5"	"CMKLR1"
"M1"	"FABP5"	"NR5A1"
"M1"	"FABP5"	"ZNF414"
"M1"	"FABP5"	"TAF4"
"M1"	"FABP5"	"GAN"
"M1"	"FABP5"	"MRPL52"
"M1"	"FABP5"	"MBNL1"
"M1"	"FABP5"	"SIGMAR1"
"M1"	"FABP5"	"ETHE1"
"M1"	"FABP5"	"OSBPL10"
"M1"	"FABP5"	"RBMS1"
"M1"	"FABP5"	"DKC1"
"M1"	"FABP5"	"ZIC5"
"M1"	"FABP5"	"MAP3K6"
"M1"	"FABP5"	"SF3A2"
"M1"	"FABP5"	"TMEM216"
"M1"	"FABP5"	"NR1H2"
"M1"	"FABP5"	"UROC1"
"M1"	"FABP5"	"CELA3A"
"M1"	"FABP5"	"SKIV2L2"
"M1"	"FABP5"	"AMACR"
"M1"	"FABP5"	"TAF1C"
"M1"	"FABP5"	"AHNAK2"
"M1"	"HIST2H2AA4"	"ADRB2"
"M1"	"RGS17"	"MS4A7"
"M1"	"RGS17"	"COL9A3"
"M1"	"PTPN5"	"PTPRN2"
"M1"	"PTPN5"	"RND3"
"M1"	"PTPN5"	"EFNA4"
"M1"	"PTPN5"	"KCNB1"
"M1"	"PTPN5"	"EGFLAM"
"M1"	"PSMB1"	"HSPA12A"
"M1"	"PSMB1"	"SDPR"
"M1"	"TRIM29"	"MCAM"
"M1"	"TRIM29"	"SPTBN1"
"M1"	"TRIM29"	"COL9A3"
"M1"	"FOSB"	"STK19"
"M1"	"FOSB"	"SMYD2"
"M1"	"FOSB"	"INPPL1"
"M1"	"FOSB"	"NCOA1"
"M1"	"FOSB"	"AES"
"M1"	"FOSB"	"SEMA5B"
"M1"	"ABCC4"	"CAV1"
"M1"	"ABCC4"	"KCNB1"
"M1"	"CTSG"	"PRKACB"
"M1"	"CTSG"	"PPL"
"M1"	"CTSG"	"VGLL3"
"M1"	"CTSG"	"HP"
"M1"	"CTSG"	"COL9A3"
"M1"	"CTSG"	"SLC22A3"
"M1"	"CTSG"	"ALDH8A1"
"M1"	"CTSG"	"HSD17B11"
"M1"	"NPTXR"	"ANKMY2"
"M1"	"NPTXR"	"CPNE2"
"M1"	"NPTXR"	"COL4A2"
"M1"	"NPTXR"	"IGFBP6"
"M1"	"BMPR1A"	"SBK1"
"M1"	"BMPR1A"	"PPAP2B"
"M1"	"BMPR1A"	"DUSP1"
"M1"	"BMPR1A"	"NMT2"
"M1"	"BMPR1A"	"CCNDBP1"
"M1"	"BMPR1A"	"HSPA12A"
"M1"	"BMPR1A"	"MSX1"
"M1"	"BMPR1A"	"PDLIM3"
"M1"	"BMPR1A"	"IGDCC4"
"M1"	"XRCC1"	"MEOX1"
"M1"	"SLC1A7"	"SGCE"
"M1"	"IWS1"	"PID1"
"M1"	"IWS1"	"PEMT"
"M1"	"IWS1"	"ANGPTL1"
"M1"	"HSPA2"	"ALDH2"
"M1"	"HSPA2"	"RELN"
"M1"	"HSPA2"	"IGFBP6"
"M1"	"HSPA2"	"VAMP5"
"M1"	"HSPA2"	"HEBP2"
"M1"	"HSPA2"	"TRAF4"
"M1"	"HSPA2"	"EPB41L2"
"M1"	"HSPA2"	"ARHGEF40"
"M1"	"HSPA2"	"ALDH1A1"
"M1"	"HSPA2"	"CRYZ"
"M1"	"HSPA2"	"ANXA3"
"M1"	"SBK1"	"RGL2"
"M1"	"SBK1"	"RHEB"
"M1"	"SBK1"	"SHANK3"
"M1"	"SBK1"	"PTGDS"
"M1"	"SBK1"	"PTPN1"
"M1"	"SBK1"	"PLEKHG2"
"M1"	"SBK1"	"RAB4A"
"M1"	"SBK1"	"APTX"
"M1"	"SBK1"	"USP33"
"M1"	"SBK1"	"FRS3"
"M1"	"SBK1"	"PRTN3"
"M1"	"SBK1"	"MAPT"
"M1"	"SBK1"	"EFNA4"
"M1"	"SBK1"	"KCNB1"
"M1"	"SBK1"	"GNAT3"
"M1"	"SBK1"	"PGGT1B"
"M1"	"SBK1"	"OR5A1"
"M1"	"SBK1"	"CCDC15"
"M1"	"SBK1"	"DHX15"
