"PC-1"	"PC-2"	"Batch"	"Group"
"GSM1045281"	22.6935102604833	23.6795177228255	"GSE42568"	"Tumor"
"GSM1045284"	25.9156561202054	8.40583362001553	"GSE42568"	"Tumor"
"GSM1045285"	15.785982050512	-17.0441247243993	"GSE42568"	"Tumor"
"GSM1045288"	46.2863756625974	-97.3452990766943	"GSE42568"	"Tumor"
"GSM1045290"	-8.62164095391999	8.01564670339707	"GSE42568"	"Tumor"
"GSM1045292"	12.5746068932378	3.62445009737148	"GSE42568"	"Tumor"
"GSM1045293"	22.4847221907869	-12.0823636179204	"GSE42568"	"Tumor"
"GSM1045294"	9.38729187751511	-7.53616541346069	"GSE42568"	"Tumor"
"GSM1045299"	30.7960860081286	-8.21855593319098	"GSE42568"	"Tumor"
"GSM1045301"	28.5730111380018	-75.772116595805	"GSE42568"	"Tumor"
"GSM1045302"	62.3076554318562	-102.375151094977	"GSE42568"	"Tumor"
"GSM1045304"	9.72538336443611	11.3449003726501	"GSE42568"	"Tumor"
"GSM1045305"	31.7463931306055	3.69376703314275	"GSE42568"	"Tumor"
"GSM1045307"	-4.92711640191448	4.55560004987372	"GSE42568"	"Tumor"
"GSM1045308"	12.9103616019689	-0.683557974367683	"GSE42568"	"Tumor"
"GSM1045309"	22.5888454911983	-15.8307751281708	"GSE42568"	"Tumor"
"GSM1045311"	1.73208409503606	12.8020142742269	"GSE42568"	"Tumor"
"GSM1501818"	7.94597334781692	-10.512620247624	"GSE61304"	"Tumor"
"GSM1501819"	-5.08667932393267	-7.82343001768257	"GSE61304"	"Tumor"
"GSM1501820"	-14.6985535394383	-14.031896207142	"GSE61304"	"Normal"
"GSM1501821"	13.9720817097699	9.95309932506167	"GSE61304"	"Tumor"
"GSM1501822"	15.9524864250546	5.10388785911001	"GSE61304"	"Tumor"
"GSM1501823"	-8.89962112045316	6.66354608358428	"GSE61304"	"Tumor"
"GSM1501824"	18.8001715098101	-0.744474374693695	"GSE61304"	"Tumor"
"GSM1501825"	11.1184615012884	7.61829685370839	"GSE61304"	"Tumor"
"GSM1501826"	1.45629034911849	8.70397622103756	"GSE61304"	"Tumor"
"GSM1501830"	-3.68498162153458	0.19079330219346	"GSE61304"	"Tumor"
"GSM1501831"	3.89228682393062	3.06336053252059	"GSE61304"	"Tumor"
"GSM1501832"	-22.4617488988483	-14.7909790697293	"GSE61304"	"Tumor"
"GSM1501833"	0.517611475140723	-9.90478394638766	"GSE61304"	"Tumor"
"GSM1501835"	6.66838545877655	5.05019739993376	"GSE61304"	"Tumor"
"GSM1501837"	2.4307214150185	2.46495043503962	"GSE61304"	"Tumor"
"GSM1501838"	-1.99853762497553	-8.77124253239966	"GSE61304"	"Tumor"
"GSM1501839"	-1.49983717426106	-5.51047276465761	"GSE61304"	"Tumor"
"GSM1501841"	3.76714359658216	14.9359085765579	"GSE61304"	"Tumor"
"GSM1501845"	-10.5575614023018	-1.22209516105423	"GSE61304"	"Tumor"
"GSM1501846"	13.3902516933319	5.03390882235688	"GSE61304"	"Tumor"
"GSM1501847"	1.40504732322908	1.47756222541333	"GSE61304"	"Tumor"
"GSM1501848"	9.65417935295721	9.72434291608875	"GSE61304"	"Tumor"
"GSM1501849"	-23.2699547581684	-19.2035075052028	"GSE61304"	"Normal"
"GSM1501850"	10.3539761312532	-7.27854369910159	"GSE61304"	"Tumor"
