"","gene","coefficient"
"1","LGALS3BP",0.023048094791641
"2","APOD",0.102484437348434
"3","LUM",0.644324909625104
"4","DKK3",0.214032122213455
"5","PDGFRB",0.118502045254964
"6","SERPINA1",0.203999314475544
"7","IFIT1",0.554263962779492
"8","MMP7",0.177479418211419
"9","DKK1",0.237451424107536
"10","CCL20",0.287033880062986
"11","IGFBP3",0.0876265848820945
